Close/Last,Volume,Open,High,Low
$193.15 ,48087680,$192.49 ,$193.50 ,$191.09 
$193.05 ,28919310,$193.61 ,$193.89 ,$192.83 
$193.60 ,37149570,$195.18 ,$195.41 ,$192.97 
$194.68 ,46482550,$196.10 ,$197.08 ,$193.50 
$194.83 ,52242820,$196.90 ,$197.68 ,$194.83 
$196.94 ,40714050,$196.16 ,$196.95 ,$195.89 
$195.89 ,55751860,$196.09 ,$196.63 ,$194.39 
$197.57 ,128538400,$197.53 ,$198.40 ,$197.00 
$198.11 ,66831570,$198.02 ,$199.62 ,$196.16 
$197.96 ,70404180,$195.09 ,$198.00 ,$194.85 
$194.71 ,52696900,$193.08 ,$194.72 ,$191.72 
$193.18 ,60943700,$193.11 ,$193.49 ,$191.42 
$195.71 ,53406360,$194.20 ,$195.99 ,$193.67 
$194.27 ,47477660,$193.63 ,$195.00 ,$193.59 
$192.32 ,41089740,$194.45 ,$194.76 ,$192.11 
$193.42 ,66628400,$190.21 ,$194.40 ,$190.18 
$189.43 ,43389520,$189.98 ,$190.05 ,$187.45 
$191.24 ,45704820,$190.33 ,$191.56 ,$189.23 
$189.95 ,48794370,$189.84 ,$190.32 ,$188.19 
$189.37 ,43014220,$190.90 ,$192.09 ,$188.97 
$190.40 ,38415420,$189.78 ,$191.08 ,$189.40 
$189.79 ,40552610,$189.92 ,$190.67 ,$188.90 
$189.97 ,24048340,$190.87 ,$190.90 ,$189.25 
$191.31 ,39630010,$191.49 ,$192.93 ,$190.83 
$190.64 ,38134490,$191.41 ,$191.52 ,$189.74 
$191.45 ,46538610,$189.89 ,$191.91 ,$189.88 
$189.69 ,50941400,$190.25 ,$190.38 ,$188.57 
$189.71 ,54412920,$189.57 ,$190.96 ,$188.65 
$188.01 ,53790500,$187.85 ,$189.50 ,$187.78 
$187.44 ,60108380,$187.70 ,$188.11 ,$186.30 
$184.80 ,43627520,$185.82 ,$186.03 ,$184.21 
$186.40 ,66177920,$183.97 ,$186.57 ,$183.53 
$182.41 ,53763540,$182.96 ,$184.12 ,$181.81 
$182.89 ,49340280,$182.35 ,$183.45 ,$181.59 
$181.82 ,70529970,$179.18 ,$182.44 ,$178.97 
$179.23 ,63841310,$176.38 ,$179.43 ,$176.21 
$176.65 ,79829250,$174.24 ,$176.82 ,$173.35 
$177.57 ,77334750,$175.52 ,$177.78 ,$175.46 
$173.97 ,56934910,$171.00 ,$174.23 ,$170.12 
$170.77 ,44846020,$169.35 ,$170.90 ,$167.90 
$170.29 ,51130960,$169.02 ,$171.17 ,$168.87 
$168.22 ,58499130,$166.91 ,$168.96 ,$166.83 
$166.89 ,70625260,$170.37 ,$171.38 ,$165.67 
$171.10 ,57156960,$171.88 ,$173.06 ,$170.65 
$173.44 ,43816640,$173.05 ,$173.67 ,$171.45 
$173.00 ,55980110,$170.91 ,$174.01 ,$169.93 
$172.88 ,64244030,$175.31 ,$175.42 ,$172.64 
$175.46 ,59302860,$176.04 ,$177.84 ,$175.19 
$175.84 ,54764380,$175.58 ,$177.58 ,$175.11 
$177.15 ,57549350,$176.65 ,$178.42 ,$174.80 
$178.72 ,52516980,$176.75 ,$179.08 ,$176.51 
$178.85 ,51456080,$181.42 ,$181.93 ,$178.14 
$180.71 ,56743120,$180.07 ,$182.34 ,$179.04 
$179.80 ,47551100,$178.20 ,$179.85 ,$177.60 
$178.39 ,43698020,$178.10 ,$179.72 ,$177.95 
$178.99 ,42390770,$176.81 ,$179.05 ,$175.80 
$177.49 ,57266680,$173.80 ,$177.99 ,$173.18 
$174.91 ,48527920,$173.79 ,$175.45 ,$172.68 
$173.66 ,53020290,$171.09 ,$174.21 ,$170.97 
$172.40 ,49594610,$172.26 ,$173.63 ,$170.82 
$173.75 ,52164540,$171.22 ,$174.30 ,$170.93 
$171.21 ,51861080,$172.02 ,$173.07 ,$170.34 
$170.69 ,56294420,$169.34 ,$172.03 ,$167.62 
$170.43 ,66921810,$172.62 ,$173.04 ,$169.05 
$171.96 ,64588950,$174.82 ,$175.20 ,$171.66 
$176.08 ,46172740,$174.20 ,$176.97 ,$174.15 
$174.79 ,56725390,$174.67 ,$177.08 ,$174.05 
$173.93 ,63149120,$174.55 ,$176.30 ,$173.86 
$175.49 ,58436180,$179.26 ,$179.70 ,$175.40 
$179.07 ,51826940,$177.52 ,$179.63 ,$177.13 
$177.97 ,67257570,$176.48 ,$179.38 ,$176.17 
$175.01 ,109259500,$176.48 ,$176.50 ,$173.82 
$175.74 ,60895760,$174.00 ,$176.10 ,$173.58 
$174.21 ,84267930,$176.51 ,$177.30 ,$173.98 
$176.30 ,90370190,$179.49 ,$180.13 ,$174.82 
$179.36 ,58953050,$180.07 ,$180.30 ,$177.34 
$178.18 ,65602070,$178.35 ,$180.24 ,$177.79 
$177.56 ,112488800,$175.18 ,$178.21 ,$173.54 
$182.91 ,81755820,$188.40 ,$188.85 ,$181.47 
$189.70 ,45280030,$188.28 ,$189.98 ,$187.61 
$189.46 ,45766500,$189.49 ,$189.92 ,$188.28 
$187.87 ,60794470,$187.84 ,$189.12 ,$187.48 
$187.65 ,60813890,$184.94 ,$187.85 ,$184.74 
$184.12 ,53003950,$179.70 ,$184.90 ,$179.50 
$180.19 ,43820700,$180.09 ,$180.59 ,$178.55 
$178.61 ,51449590,$177.38 ,$179.15 ,$175.82 
$176.38 ,54945800,$180.67 ,$181.10 ,$176.01 
$181.12 ,52722750,$178.52 ,$181.55 ,$178.33 
$177.23 ,42084250,$177.06 ,$177.68 ,$176.25 
$175.84 ,46311880,$175.07 ,$176.13 ,$173.74 
